date,open,high,low,close,volume
2016-01-04,23.353857379616016,23.982029057557313,23.215022303396438,23.977476119995117,270597600
2016-01-05,24.06851439713038,24.091273874332032,23.30833709268704,23.376615524291992,223164000
2016-01-06,22.887278155146785,23.299232144859328,22.7302365524069,22.91914176940918,273829600
2016-01-07,22.459391858377696,22.78940857456446,21.947295876161743,21.951847076416016,324377600
2016-01-08,22.42981240940169,22.557266897479018,22.022411257654905,22.067930221557617,283192000
2016-01-11,22.52539668945913,22.545879696295355,22.15441047001644,22.42525291442871,198957600
2016-01-12,22.88500484891596,22.916868465163695,22.495810311364473,22.750720977783203,196616800
2016-01-13,22.832663237110676,23.030674399276716,22.14531707943423,22.165800094604492,249758400
2016-01-14,22.29552294602049,22.869071472008873,21.790254585271544,22.650575637817383,252680400
2016-01-15,21.894950535974463,22.238624373092875,21.703768843126696,22.106616973876953,319335600
2016-01-19,22.397946010143446,22.452569107341127,21.73563422792835,21.999649047851562,212350800
2016-01-20,21.644592349934147,22.34787181686039,21.262227235983175,22.029233932495117,289337600
2016-01-21,22.090686592906753,22.277317096927792,21.608179392306322,21.917713165283203,208646000
2016-01-22,22.448021643695412,23.092125305099618,22.388847330816752,23.08302116394043,263202000
2016-01-25,23.105771076873822,23.108047545329917,22.580019731898282,22.632368087768555,207178000
2016-01-26,22.74389966470815,22.960117369167417,22.320566660315663,22.75755500793457,300308000
2016-01-27,21.858538010626564,21.992820156138578,21.24402164112915,21.262229919433594,533478800
2016-01-28,21.34643829314537,21.512584029365236,21.027800422468733,21.414716720581055,222715200
2016-01-29,21.57403500233954,22.154409408569336,21.473891232107142,22.154409408569336,257666000
2016-02-01,21.956406004053264,22.011029104191657,21.712875917741503,21.947301864624023,163774000
2016-02-02,21.71742783945319,21.858539400630523,21.457965934644978,21.50348663330078,149428800
2016-02-03,21.62183133661214,22.040611236379036,21.41244138672869,21.929088592529297,183857200
2016-02-04,21.935959037687205,22.272344249009766,21.782641154360146,22.105295181274414,185886800
2016-02-05,22.086987217026277,22.178520877367664,21.43939036735506,21.514904022216797,185672400
2016-02-08,21.311237954199672,21.899339281955367,21.2906438016349,21.741445541381836,216085600
2016-02-09,21.576691022801107,21.95426629870904,21.494310899117213,21.736873626708984,177324800
